id,timestamp,android_id,package_name,video_id,video_title,learning_event_type,additional_data
0,1762996809759,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762996840354,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 41861}
0,1762996875762,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762996918100,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 13031}
0,1762996985390,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762997014564,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 23030}
0,1762997099591,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762997147406,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_COMPLETED,{'video_playback_position_ms': 50322}
0,1762997201082,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762997252071,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 9006}
0,1762997320636,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762997360951,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 7028}
0,1762997429840,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762997442723,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 51263}
0,1762997510668,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762997530778,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 27208}
0,1762997643467,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_OPENED,
0,1762997700997,e387e38700000002,ai.elimu.filamu,1,piper,VIDEO_COMPLETED,{'video_playback_position_ms': 31683}
